concept_id_1	concept_id_2	relationship_id	valid_start_date	valid_end_date	invalid_reason
45590384	438301	Maps to	20161201	20991231	
45590795	4032877	Maps to	20190515	20991231	
45591059	4029735	Maps to	20191031	20991231	
45591634	4100184	Maps to	20131121	20991231	
45593016	444190	Maps to	20181128	20991231	
45594523	198645	Maps to	20181128	20991231	
45594550	4055449	Maps to	20140701	20991231	
45595616	4028387	Maps to	20191031	20991231	
45596377	437949	Maps to	19700101	20991231	
45596895	439083	Maps to	20141010	20991231	
45600230	4305695	Maps to	20140701	20991231	
45600467	192259	Maps to	20140701	20991231	
45601743	80767	Maps to	19700101	20991231	
45601814	73534	Maps to	20181128	20991231	
45604177	442013	Maps to	19700101	20991231	
45605105	4102738	Maps to	20161201	20991231	
45606244	75344	Maps to	20140701	20991231	
45756155	4168046	Maps to	20181128	20991231	
45756374	4053939	Maps to	20141010	20991231	
45756402	436581	Maps to	20141010	20991231	
42619027	37164468	Maps to	20240201	20991231	
42616350	80482	Maps to	20161201	20991231	
42616574	4035611	Maps to	20161201	20991231	
42616574	4117687	Maps to	20161201	20991231	
42616578	4035611	Maps to	20161201	20991231	
42616604	4344166	Maps to	20161201	20991231	
42616647	136779	Maps to	20181128	20991231	
42616711	4116142	Maps to	20161201	20991231	
42616921	80484	Maps to	20161201	20991231	
42617096	136779	Maps to	20181128	20991231	
42617340	73012	Maps to	20161201	20991231	
42617383	253009	Maps to	20161201	20991231	
42617588	4067539	Maps to	20161201	20991231	
42617650	198520	Maps to	20181128	20991231	
42617683	77961	Maps to	20161201	20991231	
42617913	4145006	Maps to	20181128	20991231	
42617945	37117206	Maps to	20181128	20991231	
42618158	4176946	Maps to	20191031	20991231	
42618201	4188441	Maps to	20161201	20991231	
42618428	4116324	Maps to	20181128	20991231	
42618474	136779	Maps to	20181128	20991231	
42618759	4126446	Maps to	20161201	20991231	
42618813	136779	Maps to	20181128	20991231	
42618813	40305987	Maps to	20161201	20991231	
42618828	40441585	Maps to	20161201	20991231	
42619136	136779	Maps to	20181128	20991231	
42619136	4069318	Maps to	20161201	20991231	
42619396	4003312	Maps to	20161201	20991231	
45552810	4112024	Maps to	19700101	20991231	
42616851	46270456	Maps to	20240729	20991231	
42619291	4181454	Maps to	20240729	20991231	
45572689	37311961	Maps to	20240820	20991231	
42616299	37166869	Maps to	20230927	20991231	
45595433	3661465	Maps to	20230927	20991231	
45600332	1340204	Maps to	20240226	20991231	
45756555	1340204	Maps to	20240226	20991231	
44777655	44777655	Maps to	19700101	20991231	
4331598	4331598	Maps to	19700101	20991231	
42616696	36716986	Maps to	20230927	20991231	
45568013	37169850	Maps to	20230927	20991231	
45558378	4048292	Maps to	20230927	20991231	
45601216	4299538	Maps to	20240226	20991231	
42618971	4347295	Maps to	20240226	20991231	
42616392	762446	Maps to	20181128	20991231	
42616416	4177365	Maps to	20181128	20991231	
42616536	81097	Maps to	20161201	20991231	
42616745	4116447	Maps to	20161201	20991231	
42616990	762446	Maps to	20181128	20991231	
42617185	78228	Maps to	20161201	20991231	
42617193	45757404	Maps to	20161201	20991231	
42617218	4239337	Maps to	20161201	20991231	
42617401	4069943	Maps to	20161201	20991231	
42617426	4184403	Maps to	20181128	20991231	
42617426	4184423	Maps to	20181128	20991231	
42617521	80497	Maps to	20191031	20991231	
42617919	4002809	Maps to	20161201	20991231	
42618476	378523	Maps to	20161201	20991231	
42618589	40480160	Maps to	20161201	20991231	
42618670	77635	Maps to	20181128	20991231	
42618907	74737	Maps to	20161201	20991231	
42618968	136205	Maps to	20181128	20991231	
42619015	133003	Maps to	20161201	20991231	
42619199	4042912	Maps to	20161201	20991231	
42619239	77630	Maps to	20161201	20991231	
43530615	43530615	Maps to	20130731	20991231	
45755353	4185470	Maps to	20181128	20991231	
45755549	4083550	Maps to	20181128	20991231	
45755559	76786	Maps to	20141010	20991231	
45755562	76786	Maps to	20181128	20991231	
45755688	4008356	Maps to	20141010	20991231	
45755747	4094343	Maps to	20181128	20991231	
45755819	434770	Maps to	20141010	20991231	
45755923	441974	Maps to	20181128	20991231	
45756026	435134	Maps to	20161201	20991231	
45756162	433930	Maps to	20181128	20991231	
45756164	433930	Maps to	20181128	20991231	
45756372	439987	Maps to	20161201	20991231	
42616986	4114604	Maps to	20240729	20991231	
45609943	44807049	Maps to	20240729	20991231	
45591170	4150299	Maps to	20220809	20991231	
45601968	37164816	Maps to	20230927	20991231	
1529222	4140438	Maps to	20240226	20991231	
42617098	37162978	Maps to	20240226	20991231	
45539078	37162983	Maps to	20240226	20991231	
45544045	437611	Maps to	20240226	20991231	
4171175	4171175	Maps to	19700101	20991231	
4177206	4177206	Maps to	20080131	20991231	
4196638	4196638	Maps to	19700101	20991231	
4220818	4220818	Maps to	19700101	20991231	
4221495	4221495	Maps to	19700101	20991231	
4226991	4226991	Maps to	19700101	20991231	
42616525	4035610	Maps to	20181128	20991231	
42616696	443582	Maps to	20181128	20991231	
42616710	4116142	Maps to	20161201	20991231	
42616745	44783158	Maps to	20181128	20991231	
42616807	4115377	Maps to	20161201	20991231	
42617030	136779	Maps to	20181128	20991231	
42617185	136779	Maps to	20181128	20991231	
42617656	4308802	Maps to	20181128	20991231	
42617895	4216397	Maps to	20161201	20991231	
42617941	37117206	Maps to	20181128	20991231	
42618557	4004624	Maps to	20161201	20991231	
42618592	45767042	Maps to	20181128	20991231	
42618936	75909	Maps to	20161201	20991231	
42619107	46273207	Maps to	20181128	20991231	
42619348	77074	Maps to	20161201	20991231	
710654	42536233	Maps to	20200524	20991231	
320073	4148615	Maps to	20240208	20991231	
42616403	4343916	Maps to	20161201	20991231	
42616504	443582	Maps to	20161201	20991231	
42616937	72994	Maps to	20161201	20991231	
42617006	74125	Maps to	20181128	20991231	
42617337	73012	Maps to	20161201	20991231	
42617894	4216397	Maps to	20161201	20991231	
42618034	77076	Maps to	20161201	20991231	
42618208	4188441	Maps to	20161201	20991231	
42618274	4047351	Maps to	20161201	20991231	
42619150	74731	Maps to	20161201	20991231	
42619291	438531	Maps to	20161201	20991231	
4001199	4001199	Maps to	19700101	20991231	
4052826	4052826	Maps to	19700101	20991231	
4055640	4055640	Maps to	19700101	20991231	
42616392	74564	Maps to	20161201	20991231	
42616416	4157481	Maps to	20161201	20991231	
42616525	72986	Maps to	20181128	20991231	
42616562	4115161	Maps to	20161201	20991231	
42616810	76191	Maps to	20181128	20991231	
42616978	46273949	Maps to	20161201	20991231	
42616995	72986	Maps to	20181128	20991231	
42616995	73553	Maps to	20161201	20991231	
42617030	4291025	Maps to	20161201	20991231	
42617218	72986	Maps to	20181128	20991231	
42618022	4196401	Maps to	20161201	20991231	
42618198	4214076	Maps to	20161201	20991231	
42618307	4009619	Maps to	20181128	20991231	
42618400	376208	Maps to	20161201	20991231	
42618516	376208	Maps to	20161201	20991231	
42618557	4115176	Maps to	20181128	20991231	
42618712	45766159	Maps to	20161201	20991231	
42618808	73574	Maps to	20161201	20991231	
42619282	72986	Maps to	20181128	20991231	
42619282	4216873	Maps to	20181128	20991231	
4122618	4122618	Maps to	19700101	20991231	
4147498	4147498	Maps to	19700101	20991231	
4157454	4157454	Maps to	19700101	20991231	
4160736	4160736	Maps to	19700101	20991231	
45533297	440392	Maps to	20140701	20991231	
45533532	316084	Maps to	20140701	20991231	
45536466	433909	Maps to	20140701	20991231	
45537321	437738	Maps to	20161201	20991231	
45537321	444074	Maps to	20181128	20991231	
45541887	138299	Maps to	19700101	20991231	
45541936	433099	Maps to	20181128	20991231	
45541936	434228	Maps to	20181128	20991231	
45542059	444074	Maps to	20181128	20991231	
45542421	4099476	Maps to	20181128	20991231	
45542626	442134	Maps to	20181128	20991231	
45544062	201136	Maps to	20140701	20991231	
45546524	4086438	Maps to	20181128	20991231	
45546810	442376	Maps to	20181128	20991231	
45547519	133420	Maps to	20181128	20991231	
45547722	4046219	Maps to	20141014	20991231	
45548599	4001632	Maps to	19700101	20991231	
45548920	441962	Maps to	19700101	20991231	
45552062	4064522	Maps to	20141014	20991231	
45552492	4102985	Maps to	20140701	20991231	
45556922	381783	Maps to	19700101	20991231	
45561298	437738	Maps to	20161201	20991231	
45562061	434629	Maps to	19700101	20991231	
45562534	4066727	Maps to	20141010	20991231	
45566605	4247238	Maps to	20181128	20991231	
45566764	4173311	Maps to	20131121	20991231	
45568761	201164	Maps to	20161201	20991231	
45571740	4209423	Maps to	20140701	20991231	
45575174	260915	Maps to	20141010	20991231	
45576088	441207	Maps to	20161201	20991231	
45576233	258061	Maps to	19700101	20991231	
45577702	4071202	Maps to	19700101	20991231	
45577827	4178367	Maps to	20141010	20991231	
45580544	434228	Maps to	20181128	20991231	
45580544	437738	Maps to	20181128	20991231	
45580544	438310	Maps to	20181128	20991231	
45580547	434228	Maps to	20181128	20991231	
45580547	438310	Maps to	20181128	20991231	
45580547	4175576	Maps to	20141014	20991231	
45580977	438046	Maps to	20181128	20991231	
45581254	4079683	Maps to	20140701	20991231	
45581362	193165	Maps to	19700101	20991231	
45585420	437738	Maps to	20161201	20991231	
45585420	444074	Maps to	20181128	20991231	
45585909	4154776	Maps to	20190515	20991231	
45586126	4098625	Maps to	19700101	20991231	
45586547	4339476	Maps to	20141010	20991231	
45590870	434277	Maps to	19700101	20991231	
45592158	4169954	Maps to	20181128	20991231	
45595649	76914	Maps to	20181128	20991231	
45598985	80573	Maps to	20140701	20991231	
45601954	4099094	Maps to	20141010	20991231	
45605439	436670	Maps to	20131121	20991231	
45605601	433773	Maps to	20140701	20991231	
45605982	4004352	Maps to	20131121	20991231	
45755444	43022062	Maps to	20141010	20991231	
45756036	444074	Maps to	20181128	20991231	
45756316	4318639	Maps to	20161201	20991231	
45756352	437738	Maps to	20181128	20991231	
45756436	444074	Maps to	20181128	20991231	
45756436	4054296	Maps to	20181128	20991231	
45756536	437738	Maps to	20161201	20991231	
45756680	437738	Maps to	20161201	20991231	
45756680	444074	Maps to	20181128	20991231	
45548651	45773214	Maps to	20240201	20991231	
42618198	44782620	Maps to	20240729	20991231	
141777	141777	Maps to	19700101	20991231	
195289	195289	Maps to	19700101	20991231	
256023	256023	Maps to	19700101	20991231	
261904	261904	Maps to	19700101	20991231	
380324	380324	Maps to	19700101	20991231	
433758	433758	Maps to	19700101	20991231	
433994	433994	Maps to	19700101	20991231	
436445	436445	Maps to	19700101	20991231	
443943	443943	Maps to	19700101	20991231	
4012105	4012105	Maps to	19700101	20991231	
4023588	4023588	Maps to	19700101	20991231	
4025313	4025313	Maps to	19700101	20991231	
4029265	4029265	Maps to	19700101	20991231	
4232783	4232783	Maps to	19700101	20991231	
4264649	4264649	Maps to	19700101	20991231	
4269199	4269199	Maps to	19700101	20991231	
4270743	4270743	Maps to	19700101	20991231	
4308742	4308742	Maps to	19700101	20991231	
4325100	4325100	Maps to	19700101	20991231	
4328336	4328336	Maps to	19700101	20991231	
45591454	45766075	Maps to	20161201	20991231	
42619393	4286642	Maps to	20240729	20991231	
42618208	44782620	Maps to	20240729	20991231	
45571045	4054362	Maps to	20240729	20991231	
45600344	37168516	Maps to	20240729	20991231	
42535228	42535228	Maps to	20180131	20991231	
45556989	4181330	Maps to	20230927	20991231	
42618445	37167226	Maps to	20230927	20991231	
45575235	4172247	Maps to	20230927	20991231	
42618164	37165893	Maps to	20240226	20991231	
45755583	77030	Maps to	20240226	20991231	
45582621	37167184	Maps to	20240226	20991231	
45601940	603079	Maps to	20240226	20991231	
45565877	4009799	Maps to	20240226	20991231	
46273197	46273197	Maps to	20150731	20991231	
3655869	3655869	Maps to	20200731	20991231	
604780	604780	Maps to	20220128	20991231	
42616666	4025831	Maps to	20161201	20991231	
42616741	4116447	Maps to	20161201	20991231	
42616748	4116447	Maps to	20161201	20991231	
42616797	4079734	Maps to	20161201	20991231	
42617156	77962	Maps to	20181128	20991231	
42617168	73290	Maps to	20161201	20991231	
